avgTAS,maxTAS,avgCAS,maxCAS,avgBounded,maxBounded
32.76,302,32.12,200,690.14,1739
60.75,416,48.98,315,594.16,1423
53.12,317,66.87,304,698.99,1729
74.27,419,30.49,315,717.82,1631
22.05,315,62.49,506,717.82,1631
46.56,437,37.575,320,1510.69,3348
49.66,437,37.445,418,1487.49,4260
51.83,435,67.285,639,1533.79,4661
46.3,422,36.52,408,1411.96,3751
37.035,442,40.135,308,1436.76,4463
50.72,517,66.1867,656,2322.05,7194
41.43,556,46.7033,435,2134.08,10623
55.71,454,54.7933,446,2103.04,10434
35.5133,446,44.83,532,2262.61,7808
49.32,517,45.8,447,2124.07,6593
73.425,798,61.935,642,2911.83,11052
75.4825,874,40.2925,510,2817.43,9726
66.8925,778,52.4025,573,2731.77,10210
80.8425,974,45.8125,601,3032.52,16397
62.8075,743,55.3775,579,1802.13,9328
52.242,810,92.056,952,2877.88,14558
63.704,744,40.05,621,3638.98,18525
77.804,895,48.478,586,2147.89,11935
64.384,766,69.27,827,3674.81,22167
72.312,951,45.508,618,3344.58,11337
